Full Name;User;Email;Business;Business Area;Business Position;;;;
Fátima Simões;User75;email79.test@provider.com;Polymers PE;Marketing;MarketingIntern;46;;21;MI
Félix Sabrosa;User76;email80.test@provider.com;Polymers QR;Marketing;MarketingAnalyst;4;;27;ME
Gabriela Marino;User77;email81.test@provider.com;Polymers ;CustomerService;CustomerServiceDirector;57;;21,22,27;MI
Galindo Alvim;User78;email82.test@provider.com;Polymers PP;CustomerService;CustomerServiceTeam;6;;21,22,27;MI
Gaudêncio Bulhão;User79;email83.test@provider.com;Polymers PP;CustomerService;CustomerServiceTeam;376;;21,22,27;MI
Genoveva Hollanda;User80;email84.test@provider.com;Polymers PP;CustomerService;CustomerServiceTeam;54;;21,22,27;MI
Germano Vázquez;User81;email85.test@provider.com;Polymers PP;CustomerService;CustomerServiceTeam;67;;21,22,27;MI
Gerusa Regalado;User82;email86.test@provider.com;Polymers PP;CustomerService;CustomerServiceTeam;5;;21,22,27;MI
Gina Louzada;User83;email87.test@provider.com;Polymers PP;CustomerService;CustomerServiceTeam;3;;21,22,27;MI
Gláuber Cascaes;User84;email88.test@provider.com;Polymers PP;CustomerService;CustomerServiceTeam;456;;21,22,27;MI
Gláucia Filgueiras;User85;email89.test@provider.com;Polymers PP;CustomerService;CustomerServiceTeam;376;;21,22,27;MI
Gui Barra;User86;email90.test@provider.com;Polymers PP;CustomerService;CustomerServiceTeam;5;;21,22,27;MI
Guilherme Malta;User87;email91.test@provider.com;Polymers PP;CustomerService;CustomerServiceTeam;37;;21,22,27;MI
Gustavo Campelo;User88;email92.test@provider.com;Polymers PP;CustomerService;CustomerServiceTeam;5;;21,22,27;MI
Hermígio Zagallo;User89;email93.test@provider.com;Polymers PP;CustomerService;CustomerServiceTeam;653;;21,22,27;MI
Hipólito Betancour;User90;email94.test@provider.com;Polymers PP;CustomerService;CustomerServiceTeam;7;;21,22,27;MI
Honorina Angelim;User91;email95.test@provider.com;Polymers PP;CustomerService;CustomerServiceTeam;5;;21,22,27;MI
Honório Quaresma;User92;email96.test@provider.com;Polymers PP;CustomerService;CustomerServiceTeam;34;;21,22,27;MI
Horácio Colares;User93;email97.test@provider.com;Polymers PP;CustomerService;CustomerServiceTeam;64;;21,22,27;MI
Hugo Paixão;User94;email98.test@provider.com;Polymers PP;CustomerService;CustomerServiceTeam;36;;21,22,27;MI
Iberê Coello;User95;email99.test@provider.com;Polymers PP;CustomerService;CustomerServiceTeam;54;;21,22,27;MI
Ilma Paiacã;;;Polymers EP;CustomerService;CustomerServiceTeam;6;;;
Ilídio Fogassa;;;Polymers EP;CustomerService;CustomerServiceTeam;4;;;
Iolanda Negreiros;;;Polymers EP;CustomerService;CustomerServiceTeam;76542;;;
Iracema Ferrão;;;Polymers EP;CustomerService;CustomerServiceTeam;654;;;
Isidro Azevedo;;;Polymers EP;CustomerService;CustomerServiceTeam;6;;;
Isilda Aires;;;Polymers EP;CustomerService;CustomerServiceTeam;5;;;
Itiberê Álvarez;;;Polymers EP;CustomerService;CustomerServiceTeam;6;;;
Ivo Passos;;;Polymers EP;CustomerService;CustomerServiceTeam;5;;;
Jaci Jaguaribe;;;Polymers EP;CustomerService;CustomerServiceTeam;7655;;;
Jacinta Valim;;;Polymers EP;CustomerService;CustomerServiceTeam;46;;;
Jacinto Ferraz;;;Polymers EP;CustomerService;CustomerServiceTeam;;;;
Jacir Cortês;;;Polymers EP;CustomerService;CustomerServiceTeam;54765;;;
Jadir Bandeira;;;Polymers EP;CustomerService;CustomerServiceTeam;654;;;
Jaime Salguero;;;Polymers EP;CustomerService;CustomerServiceTeam;36;;;
Jandaíra Sampaio;;;Polymers EP;CustomerService;CustomerServiceTeam;454;;;
Joel Inês;;;Polymers EP;CustomerService;CustomerServiceTeam;675;;;
José Márquez;;;Polymers EP;CustomerService;CustomerServiceTeam;6;;;
Judas Temes;;;Polymers EP;CustomerService;CustomerServiceTeam;;;;
Judas Torcuato;User122;email118.test@provider.com;Polymers PE + QR;CustomerService;CustomerServiceTeam;67;;21,22,27;MI
Juliano Reis;User123;email119.test@provider.com;Polymers PE + QR;CustomerService;CustomerServiceTeam;6;;21,22,27;MI
Julieta Paz;User124;email120.test@provider.com;Polymers PE + QR;CustomerService;CustomerServiceTeam;765;;21,22,27;MI
Jurema Bahia;User125;email121.test@provider.com;Polymers PE + QR;CustomerService;CustomerServiceTeam;7;;21,22,27;MI
Justino Freire;User126;email122.test@provider.com;Polymers PE + QR;CustomerService;CustomerServiceTeam;54;;21,22,27;MI
Jéssica Athayde;User127;email123.test@provider.com;Polymers PE + QR;CustomerService;CustomerServiceTeam;66;;21,22,27;MI
Lavínia Affonso;User128;email124.test@provider.com;Polymers PE + QR;CustomerService;CustomerServiceTeam;75;;21,22,27;MI
Leonir Granja;User129;email125.test@provider.com;Polymers PE + QR;CustomerService;CustomerServiceTeam;65;;21,22,27;MI
Levi Mafra;User130;email126.test@provider.com;Polymers PE + QR;CustomerService;CustomerServiceTeam;4;;21,22,27;MI
Luciana Suaçuna;User131;email127.test@provider.com;Polymers PE + QR;CustomerService;CustomerServiceTeam;6;;21,22,27;MI
Lucílio Barrios;User132;email128.test@provider.com;Polymers PE + QR;CustomerService;CustomerServiceTeam;46;;21,22,27;MI
Lucílio Iglesias;User133;email129.test@provider.com;Polymers PE + QR;CustomerService;CustomerServiceTeam;680;;21,22,27;MI
Lurdes Ulhoa;User134;email130.test@provider.com;Polymers PE + QR;CustomerService;CustomerServiceTeam;365;;21,22,27;MI
Lénia Carvalheiro;User135;email131.test@provider.com;Polymers PE + QR;CustomerService;CustomerServiceTeam;4;;21,22,27;MI
Lília Fagundes;User136;email132.test@provider.com;Polymers PE + QR;CustomerService;CustomerServiceTeam;6;;21,22,27;MI
Marcelo Resende;User137;email133.test@provider.com;Polymers PE + QR;CustomerService;CustomerServiceTeam;64;;21,22,27;MI
Marco Oleiro;User138;email134.test@provider.com;Polymers PE + QR;CustomerService;CustomerServiceTeam;64;;21,22,27;MI
Maria Sales;User139;email135.test@provider.com;Polymers PE + QR;CustomerService;CustomerServiceTeam;64;;21,22,27;MI
Marlene Simas;User140;email136.test@provider.com;Polymers PE + QR;CustomerService;CustomerServiceTeam;65;;21,22,27;MI
Marli Vilarinho;User141;email137.test@provider.com;Polymers PE + QR;CustomerService;CustomerServiceTeam;4;;21,22,27;MI
Marta Afonso;User142;email138.test@provider.com;Polymers PE + QR;CustomerService;CustomerServiceTeam;6;;21,22,27;MI
Marta Lucas;User143;email139.test@provider.com;Polymers PE + QR;CustomerService;CustomerServiceTeam;54;;21,22,27;MI
Martinho Canedo;User144;email140.test@provider.com;Polymers PE + QR;CustomerService;CustomerServiceTeam;356;;21,22,27;MI
Mateus Maior;User145;email141.test@provider.com;Polymers PE + QR;CustomerService;CustomerServiceTeam;6;;21,22,27;MI
Matilde Bessa;User146;email142.test@provider.com;Polymers PE + QR;CustomerService;CustomerServiceTeam;5;;21,22,27;MI
Mauro Cachão;User147;email143.test@provider.com;Polymers PE + QR;CustomerService;CustomerServiceTeam;4;;21,22,27;MI
Mauro Nieto;User148;email144.test@provider.com;Polymers PE + QR;CustomerService;CustomerServiceTeam;3;;21,22,27;MI
Mbicy Alves;User149;email145.test@provider.com;Polymers QR;Commercial;CommercialAccountManager;145;;27;ME
Miguelina Jácome;User150;email146.test@provider.com;Chemicals;Commercial;CommercialAnalyst;678;User4;01, 04, 02;MI
Mileide Costa;User151;email147.test@provider.com;Chemicals;Commercial;CommercialAnalyst;6;User5;01, 04, 02;MI
Mário Teves;User152;email148.test@provider.com;Chemicals;Commercial;CommercialAccountManager;543;User6;01, 04, 02, 06;MI
Máximo Corte-Real;User153;email149.test@provider.com;Chemicals;Commercial;CommercialManager;25;User7;01, 04, 02, 06;MI
Natacha Herrera;User154;email150.test@provider.com;Chemicals;Commercial;CommercialDirector;67;User8;01, 04, 02, 06;MI
Natividade César;User155;email151.test@provider.com;Chemicals;Pricing;PricingAnalyst;54;User9;01, 04, 02, 06, 03, 25, 26;MI /ME
Natividade Tavares;User156;email152.test@provider.com;Chemicals;Pricing;PricingCoordinator;3;User10;01, 04, 02, 06, 03, 25, 26;MI /ME
Nelson Macena;User157;email153.test@provider.com;Chemicals;Pricing;PricingManager;4576;User11;01, 04, 02, 06, 03, 25, 26;MI /ME
Nestor Rebocho;User158;email154.test@provider.com;Chemicals;Pricing;PricingDirector;6;User12;01, 04, 02, 06, 03, 25, 26;MI /ME
Neuza Anjos;User159;email155.test@provider.com;Chemicals;Commercial;CommercialDirector;54;User13;25, 26;MI /ME
Nicanor Granjeia;User160;email156.test@provider.com;Chemicals;Commercial;CommercialDirector;3;User14;01, 04, 02, 06, 03;MI /ME
Noé Britto;User161;email157.test@provider.com;Chemicals;Commercial;CommercialManager;4576;User15;3;MI /ME
Odete Pinheiro;User162;email158.test@provider.com;Chemicals;Commercial;CommercialAccountManager;6;User16;3;MI
Ondina Negromonte;User163;email159.test@provider.com;Chemicals;Commercial;CommercialAccountManager;54;User17;3;MI /ME
Orestes Athayde;User164;email160.test@provider.com;Chemicals;Commercial;CommercialAccountManager;47;User18;3;MI /ME
Osvaldo Cabreira;User165;email161.test@provider.com;Chemicals;Commercial;CommercialAnalyst;65;User19;3;MI /ME
Otávio Mendes;User166;email162.test@provider.com;Chemicals;Commercial;CommercialAnalyst;4;User20;3;MI /ME
Otávio Pinho;User167;email163.test@provider.com;Chemicals;Commercial;CommercialIntern;32186;User21;3;MI /ME
Paula Andrade;User168;email164.test@provider.com;Chemicals;Commercial;CommercialAccountManager;643;User22;3;MI /ME
Piedade Peláez;User169;email165.test@provider.com;Chemicals;Commercial;CommercialAccountManager;75;User23;3;MI /ME
Poliana Castelo;User170;email166.test@provider.com;Chemicals;Commercial;CommercialManager;65576;User24;01, 04, 02, 06;MI
Potira Coelho;User171;email167.test@provider.com;Chemicals;Commercial;CommercialAnalyst;45;User25;01, 04, 02, 06;MI
Querubim Fogaça;User172;email168.test@provider.com;Chemicals;Commercial;CommercialAccountManager;432;User26;01, 04, 02, 06;MI
Quintiliana Botelho;User173;email169.test@provider.com;Chemicals;Commercial;CommercialAccountManager;5;User27;01, 04, 06;MI
Quirino Guedella;User174;email170.test@provider.com;Chemicals;Commercial;CommercialIntern;454;User28;01, 04, 06;MI
Rafaela Morgado;User175;email171.test@provider.com;Chemicals;Commercial;CommercialAnalyst;76;User29;01, 04, 02, 06;MI
Rogério Araripe;User176;email172.test@provider.com;Chemicals;Commercial;CommercialAnalyst;27547;User30;01, 04, 02, 06;MI
Ronaldo Belén;User177;email173.test@provider.com;Chemicals;Commercial;CommercialAnalyst;5;User31;01, 04, 02, 06;MI
Rudá Reino;User178;email174.test@provider.com;Chemicals;Commercial;CommercialIntern;6;User32;01, 04, 02, 06;MI
Rufus Jiménez;User179;email175.test@provider.com;Chemicals;Commercial;CommercialAnalyst;54;User33;01, 04, 02, 06;MI
Rui Guerra;User180;email176.test@provider.com;Chemicals;Commercial;CommercialAccountManager;5436;User34;01, 04, 02, 06;MI
Salvador Botica;User181;email177.test@provider.com;Chemicals;Commercial;CommercialManager;456346;User35;01, 04, 02, 06, 03;ME
Salvina César;User182;email178.test@provider.com;Chemicals;Commercial;ExportBackofficeCoordinator;53;User36;01, 04, 02, 06, 03;ME
Samuel Teodoro;User183;email179.test@provider.com;Chemicals;Commercial;CommercialAccountManager;65;User37;01, 04, 02, 06, 03, 25, 26;ME
Sancha Lagos;User184;email180.test@provider.com;Chemicals;Commercial;CommercialAnalyst;30832;User38;01, 04, 02, 06, 03;ME
Sandra Becerra;User185;email181.test@provider.com;Chemicals;Commercial;CommercialAccountManager;46;User39;01, 04, 02, 06, 03;ME
Sidónio Grangeia;User186;email182.test@provider.com;Chemicals;Commercial;CommercialAnalyst;3;User40;01, 04, 02, 06, 03;ME
Silvano Café;User187;email183.test@provider.com;Chemicals;Commercial;CommercialAccountManager;6523546;User41;01, 04, 02, 06, 03;ME
Silvano Lacerda;User188;email184.test@provider.com;Chemicals;Commercial;CommercialAccountManager;56335;User42;01, 04, 02, 06, 03;ME
Simeão Bogalho;User189;email185.test@provider.com;Chemicals;Commercial;CommercialAnalyst;25559;User43;01, 04, 02, 06, 03;ME
Suniário Pedroso;User190;email186.test@provider.com;Chemicals;Commercial;CommercialAccountManager;53;User44;01, 04, 02, 06, 03;ME
Teodora Becerril;User191;email187.test@provider.com;Chemicals;Commercial;CommercialAnalyst;4645;User45;01, 04, 02, 06, 03;ME
Teodorico Rabelo;User192;email188.test@provider.com;Chemicals;Commercial;CommercialAnalyst;4;User46;01, 04, 02, 06, 03;ME
Teresina Losada;User193;email189.test@provider.com;Chemicals;Commercial;CommercialAnalyst;363;User47;01, 04, 02, 06, 03;ME
Teresina Remígio;User194;email190.test@provider.com;Chemicals;Commercial;CommercialAnalyst;5;User48;01, 04, 02, 06, 03;ME
Tiago Vergueiro;User195;email191.test@provider.com;Chemicals;Commercial;CommercialAnalyst;535;User49;01, 04, 02, 06, 03;ME
Tomás Garcés;User196;email192.test@provider.com;Chemicals;Commercial;CommercialAnalyst;32597;User50;01, 04, 02, 06, 03;ME
Tomé Rabello;User197;email193.test@provider.com;Chemicals;Commercial;CommercialAccountManager;42565546;User51;25, 26;MI /ME
Trajano Azevedo;User198;email194.test@provider.com;Chemicals;Commercial;CommercialAccountManager;5;User52;25, 26;MI /ME
Trajano Ilha;User199;email195.test@provider.com;Chemicals;Commercial;CommercialAccountManager;6656;User53;25, 26;MI /ME
Ubaldo Campello;User200;email196.test@provider.com;Chemicals;Commercial;CommercialAccountManager;54;User54;25, 26;ME
Urânia Prates;User201;email197.test@provider.com;Chemicals;Commercial;CommercialAccountManager;645;User55;25, 26;ME
Valéria Palhares;User202;email198.test@provider.com;Chemicals;Commercial;CommercialAnalyst;6546;User56;25, 26;MI
Valério Villela;User203;email199.test@provider.com;Chemicals;Commercial;CommercialAnalyst;453;User57;25, 26;ME
Vicente Neto;User204;email200.test@provider.com;Chemicals;Commercial;CommercialAnalyst;65;User58;25, 26;ME
Violeta Valim;User205;email201.test@provider.com;Chemicals;Commercial;CommercialIntern;4654;User59;25, 26;MI
Vivaldo Díaz;User206;email202.test@provider.com;Chemicals;Commercial;CommercialAnalyst;656;User60;25, 26;MI
Vlademiro Bulhão;User207;email203.test@provider.com;Chemicals;Pricing;;546;User61;01, 04, 02, 06, 03, 25, 26;MI /ME
Vânia Damasceno;User208;email204.test@provider.com;Chemicals;Pricing;PricingAnalyst;536;User62;01, 04, 02, 06, 03, 25, 26;MI /ME
Vânia Homem;User209;email205.test@provider.com;Chemicals;Pricing;PricingAnalyst;5;User63;01, 04, 02, 06, 03, 25, 26;MI /ME
Ximeno Belém;User210;email206.test@provider.com;Chemicals;"Marketing 
Intelligence";MarketIntelligenceAnalyst;65;User64;01, 04, 02, 06, 03, 25, 26;MI /ME
Xênia   Prates;User211;email207.test@provider.com;Chemicals;Pricing;PricingIntern;65;User65;01, 04, 02, 06, 03, 25, 26;MI /ME
Zacarias Correa;User212;email208.test@provider.com;Chemicals;Pricing;PricingIntern;465;User66;01, 04, 02, 06, 03, 25, 26;MI /ME
Zoraide Cardim;User213;email209.test@provider.com;Chemicals;Commercial;CommercialAccountManager;36;User67;01, 04, 02, 06, 03;ME
Ágata Mendoça;User214;email210.test@provider.com;Chemicals;Commercial;CommercialAnalyst;356;User68;01, 04, 02, 06, 03;ME
Álvaro Garrido;User215;email211.test@provider.com;Chemicals;Commercial;CommercialManager;76453;User69;25, 26;MI /ME
Álvaro Ipiranga;User216;email212.test@provider.com;Chemicals;Commercial;Backofficemanager;654;User70;25, 26;MI /ME
